Date :,2/7/20 12:24,,,,,,,,,,,
Motion Threshold (au):,20,,,,,,,,,,,
Detection Method:,Linear,,,,,,,,,,,
Min Freeze Duration (f):,30,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Component Details,,,,,,,,,,,,
Component Name,Start Time,Duration (s),Start Frame,Duration Frames,,,,,,,,
2020-02-07 TFC 3shock TONE TEST session ,1,Chamber1,257,squad-1,6,4,11.133,0.58,55.67,39.51,0,556
2020-02-07 TFC 3shock TONE TEST session ,1,Chamber1,257,squad-1,7,5,17.267,0.9,86.33,7.59,0,228
2020-02-07 TFC 3shock TONE TEST session ,1,Chamber1,257,squad-1,8,3,7.033,0.37,35.17,73.39,0,801
2020-02-07 TFC 3shock TONE TEST session ,1,Chamber1,257,squad-1,9,6,13.1,0.68,65.5,38.53,0,3429
2020-02-07 TFC 3shock TONE TEST session ,1,Chamber1,257,squad-1,10,2,9.033,0.47,45.17,49.66,0,707
2020-02-07 TFC 3shock TONE TEST session ,1,Chamber1,257,squad-1,11,0,0,0,0,211.6,0,930
2020-02-07 TFC 3shock TONE TEST session ,1,Chamber1,257,squad-1,12,0,0,0,0,194.71,0,1203
2020-02-07 TFC 3shock TONE TEST session ,1,Chamber1,257,squad-1,Tone-1,4,8.667,0.45,43.33,106.4,0,960
2020-02-07 TFC 3shock TONE TEST session ,1,Chamber1,257,squad-1,Trace-1,2,9.2,0.48,46,159.39,0,1015
2020-02-07 TFC 3shock TONE TEST session ,1,Chamber1,257,squad-1,13,2,5.5,0.29,27.5,104.82,0,1087
2020-02-07 TFC 3shock TONE TEST session ,1,Chamber1,257,squad-1,14,2,2.267,0.12,11.33,91.39,0,902
2020-02-07 TFC 3shock TONE TEST session ,1,Chamber1,257,squad-1,15,1,3.033,0.16,15.17,222.26,0,1304
2020-02-07 TFC 3shock TONE TEST session ,1,Chamber1,257,squad-1,16,2,3.467,0.18,17.33,263.35,0,1300
2020-02-07 TFC 3shock TONE TEST session ,1,Chamber1,257,squad-1,17,1,11.033,0.57,55.17,79.51,0,1034
2020-02-07 TFC 3shock TONE TEST session ,1,Chamber1,257,squad-1,18,4,6.667,0.35,33.33,91.86,0,1045
2020-02-07 TFC 3shock TONE TEST session ,1,Chamber1,257,squad-1,19,0,0,0,0,165.63,0,1480
2020-02-07 TFC 3shock TONE TEST session ,1,Chamber1,257,squad-1,20,1,1.1,0.06,5.5,169.12,0,1476
2020-02-07 TFC 3shock TONE TEST session ,1,Chamber1,257,squad-1,21,1,1.1,0.06,5.5,149.62,0,897
2020-02-07 TFC 3shock TONE TEST session ,1,Chamber1,257,squad-1,22,1,1.6,0.08,8,237.6,0,1259
2020-02-07 TFC 3shock TONE TEST session ,1,Chamber1,257,squad-1,23,0,0,0,0,270.16,0,1086
2020-02-07 TFC 3shock TONE TEST session ,1,Chamber1,257,squad-1,24,0,0,0,0,188.52,0,912
2020-02-07 TFC 3shock TONE TEST session ,1,Chamber1,257,squad-1,Tone-2,3,11.833,0.62,59.17,48.13,0,637
2020-02-07 TFC 3shock TONE TEST session ,1,Chamber1,257,squad-1,Trace-2,2,14.6,0.76,73,43.6,0,436
2020-02-07 TFC 3shock TONE TEST session ,1,Chamber1,257,squad-1,25,3,6.167,0.32,30.83,74.61,0,777
2020-02-07 TFC 3shock TONE TEST session ,1,Chamber1,257,squad-1,26,2,8.033,0.42,40.17,135.95,0,1275
2020-02-07 TFC 3shock TONE TEST session ,1,Chamber1,257,squad-1,27,1,1.833,0.1,9.17,185.59,0,1030
2020-02-07 TFC 3shock TONE TEST session ,1,Chamber1,257,squad-1,28,0,0,0,0,179.64,0,1159
2020-02-07 TFC 3shock TONE TEST session ,1,Chamber1,257,squad-1,29,1,2.167,0.11,10.83,225.03,0,1411
2020-02-07 TFC 3shock TONE TEST session ,1,Chamber1,257,squad-1,30,1,1.1,0.06,5.5,224.29,0,1193
2020-02-07 TFC 3shock TONE TEST session ,1,Chamber1,257,squad-1,31,2,3.033,0.16,15.17,116.07,0,1239
2020-02-07 TFC 3shock TONE TEST session ,1,Chamber1,257,squad-1,32,1,2.867,0.15,14.33,199.83,0,998
2020-02-07 TFC 3shock TONE TEST session ,1,Chamber1,257,squad-1,33,0,0,0,0,359.07,0,1122
2020-02-07 TFC 3shock TONE TEST session ,1,Chamber1,257,squad-1,34,0,0,0,0,183.26,0,1170
2020-02-07 TFC 3shock TONE TEST session ,1,Chamber1,257,squad-1,35,2,2.833,0.15,14.17,130.75,0,827
2020-02-07 TFC 3shock TONE TEST session ,1,Chamber1,257,squad-1,36,1,2.1,0.11,10.5,116.19,0,1090
2020-02-07 TFC 3shock TONE TEST session ,1,Chamber1,257,squad-1,Tone-3,2,18.367,0.96,91.83,6.43,0,477
2020-02-07 TFC 3shock TONE TEST session ,1,Chamber1,257,squad-1,Trace-3,3,14.733,0.77,73.67,14.22,0,363
2020-02-07 TFC 3shock TONE TEST session ,1,Chamber1,257,squad-1,37,5,12.433,0.65,62.17,35.57,0,405
2020-02-07 TFC 3shock TONE TEST session ,1,Chamber1,257,squad-1,38,1,1.167,0.06,5.83,154.74,0,951
2020-02-07 TFC 3shock TONE TEST session ,1,Chamber1,257,squad-1,39,2,4.7,0.24,23.5,42.78,0,522
2020-02-07 TFC 3shock TONE TEST session ,1,Chamber1,257,squad-1,40,1,1.6,0.08,8,74.38,0,755
2020-02-07 TFC 3shock TONE TEST session ,1,Chamber1,257,squad-1,41,0,0,0,0,256.65,0,1288
2020-02-07 TFC 3shock TONE TEST session ,1,Chamber1,257,squad-1,42,2,2.133,0.11,10.67,68.91,0,785
2020-02-07 TFC 3shock TONE TEST session ,1,Chamber1,257,squad-1,43,1,1.067,0.06,5.33,70.22,0,616
2020-02-07 TFC 3shock TONE TEST session ,1,Chamber1,257,squad-1,44,1,1.7,0.09,8.5,120.15,0,580
2020-02-07 TFC 3shock TONE TEST session ,1,Chamber1,257,squad-1,45,1,1.133,0.06,5.67,73.56,0,623
2020-02-07 TFC 3shock TONE TEST session ,1,Chamber1,257,squad-1,46,0,0,0,0,78.03,0,407
2020-02-07 TFC 3shock TONE TEST session ,1,Chamber1,257,squad-1,47,4,12.467,0.65,62.33,24.14,0,350
2020-02-07 TFC 3shock TONE TEST session ,1,Chamber1,257,squad-1,48,3,9.7,0.51,48.5,72.66,0,732
2020-02-07 TFC 3shock TONE TEST session ,1,Chamber1,257,squad-1,Tone-4,3,13.9,0.72,69.5,33.37,0,883
2020-02-07 TFC 3shock TONE TEST session ,1,Chamber1,257,squad-1,Trace-4,3,18.133,0.94,90.67,3.34,0,147
2020-02-07 TFC 3shock TONE TEST session ,1,Chamber1,257,squad-1,49,3,10.767,0.56,53.83,26.39,0,550
2020-02-07 TFC 3shock TONE TEST session ,1,Chamber1,257,squad-1,50,1,1.4,0.07,7,177.5,0,1021
2020-02-07 TFC 3shock TONE TEST session ,1,Chamber1,257,squad-1,51,5,9.833,0.51,49.17,79.72,0,1169
2020-02-07 TFC 3shock TONE TEST session ,1,Chamber1,257,squad-1,52,6,17.9,0.93,89.5,2.44,0,189
